Label,DeltaG_3,logTOF,NCBG_HOMO,NCBG_LUMO,NCBG_I,NCBG_A,NCBG_Hardness,NCBG_Softness,NCBG_Electronegativity,NCBG_E_index,NCBG_N_index,NCBG_PEX,CBG_HOMO,CBG_LUMO,CBG_NBO_N,CBG_NI_rel,CBG_NBO_N-1,CBG_fk-,CBG_Nk,CBG_ENF,BB_HOMO,BB_LUMO,BB_wL,BB_wB1,BB_wB5,BB_vNH,BB_iNH,BB_NBO_N
Cat0,-5.846505769,3.919887795,-7.878516642,0.87620708,5.984494356,1.095612598,2.444440879,0.409091506,3.540053477,2.563363002,0.39011252,13.62636823,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat1,-7.788647591,4.935028327,-7.733751994,-0.373884636,5.850042829,2.343119231,1.753461799,0.57030042,4.09658103,4.785384018,0.208969645,0.137424575,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat2,-5.069021531,2.928665391,-9.75392633,2.949443646,7.891169943,-0.119811794,4.005490869,0.249657291,3.885679074,1.884725539,0.530581233,25.03888303,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat3,-6.267564626,3.608952136,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat4,-4.338600503,2.21434131,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat5,-7.505013309,3.8559528,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat6,-2.276604372,2.510558121,-7.93892595,2.587259912,6.060386951,-0.130914045,3.095650498,0.323033883,2.964736453,1.41967936,0.704384404,22.33117965,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat7,-3.922561722,3.690365763,-7.640144778,1.974731298,5.683155313,-0.123594179,2.903374746,0.344426775,2.779780567,1.330723843,0.751470716,16.46082852,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat8,-5.906746679,5.271262006,-7.995797776,-0.960018192,6.103598654,2.88538801,1.609105322,0.62146336,4.494493332,6.276926078,0.159313649,4.090106751,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat9,-5.717238818,2.479740534,-10.3558425,2.54018419,8.467779509,-0.1444109,4.306095204,0.232228957,4.161684305,2.011058213,0.497250648,10.70029155,-8.593904348,2.85991814,-0.63325,2.341268856,-0.04717,-0.58608,-1.372170851,1.630897123,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
